Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57933306,Stolen Focus: Why You Can't Pay Attention- and How to Think Deeply Again,Johann Hari,"Hari, Johann",,"=""0593138511""","=""9780593138519""",0,4.27,Crown Publishing Group (NY),Hardcover,357,2022,2022,,2022/12/17,currently-reading,currently-reading (#3),currently-reading,,,,1,0
59616977,Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"Forte, Tiago",,"=""1982167386""","=""9781982167387""",0,4.15,Atria Books,Hardcover,272,2022,2022,,2022/12/23,to-read,to-read (#15),to-read,,,,0,0
58808583,Onder buren,Juli Zeh,"Zeh, Juli",Annemarie Vlaming,"=""""","=""9789026356186""",0,4.11,Ambo|Anthos,Hardcover,352,2021,2021,,2022/12/23,to-read,to-read (#14),to-read,,,,0,0
17910054,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"Kolbert, Elizabeth",,"=""0805092994""","=""9780805092998""",0,4.15,Henry Holt and Co. (Georg von Holtzbrinck),Hardcover,336,2014,2014,,2022/09/29,currently-reading,currently-reading (#2),currently-reading,,,,1,0
9014,The Long Walk,Richard Bachman,"Bachman, Richard",Stephen King,"=""0451196716""","=""9780451196712""",3,4.10,Signet,Mass Market Paperback,370,1999,1979,2022/11/25,2022/07/10,,,read,,,,1,0
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""""","=""""",4,4.41,Knopf Publishing Group,Hardcover,339,2018,2018,2022/11/16,2022/10/30,,,read,,,,1,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",0,4.00,Time Warner Book Group,Paperback,301,2002,2000,,2022/11/04,to-read,to-read (#13),to-read,,,,0,0
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0670069019""","=""9780670069019""",0,4.16,Knopf,Hardcover,480,2008,2005,,2022/11/04,to-read,to-read (#12),to-read,,,,0,0
853510,"Murder on the Orient Express (Hercule Poirot, #9)",Agatha Christie,"Christie, Agatha",,"=""0007119313""","=""9780007119318""",3,4.20,HarperCollins,Paperback,274,2007,1934,2022/11/02,2022/07/16,,,read,,,,1,0
63105991,Rotterdam. Een ode aan inefficiëntie,Arjen van Veelen,"Veelen, Arjen van",,"=""""","=""9789493254183""",0,4.43,De Correspondent,Paperback,368,2022,2022,,2022/11/02,to-read,to-read (#11),to-read,,,,0,0
29200705,Data Visualisation: A Handbook for Data Driven Design,Andy Kirk,"Kirk, Andy",,"=""147391213X""","=""9781473912137""",4,4.16,Sage Publications Ltd,Hardcover,368,2016,2016,2022/10/27,2022/10/04,,,read,,,,1,0
